"area","col_centroid","convex_area","label","major_axis_length","max_col","max_row","min_col","min_row","minor_axis_length","orientation","perimeter","row_centroid","circularity","cloud_fraction","b1_reflectance_mean","b7_reflectance_mean","b2_reflectance_mean","b1_reflectance_bdry_mean","b1_bdry_contrast","b2_reflectance_bdry_mean","b2_bdry_contrast","candidate","solidity"
109,53.55045871559633,112.0,9,15.048267695482176,60,332,47,321,9.44328315661984,-1.1476048371653906,41.21320343559642,326.48623853211006,0.8064243192595056,0.0,0.85306764,0.020903055,0.8121609,0.7964383821161319,0.056629254373736226,0.7964383821161319,0.015722527059740865,false,0.9732142857142857
123,52.84552845528455,134.0,10,21.262387973377958,59,362,48,344,8.147718128823902,-0.32578616561363916,51.698484809835,352.0487804878049,0.5783081938151874,0.0,0.8444131,0.013964617,0.78214633,0.7500522875816994,0.09436081409142683,0.7500522875816994,0.03209404706643293,false,0.917910447761194
104,65.00961538461539,132.0,12,21.553703871042504,71,301,60,282,7.966830851606283,-0.3085542668589889,61.35533905932738,291.33653846153845,0.3471670366963157,0.0,0.8501511,0.017119166,0.7759808,0.8051865907653384,0.04496453085102514,0.8051865907653384,-0.02920582017741724,false,0.7878787878787878
314,76.11146496815287,382.0,14,26.82760430426158,87,336,61,314,19.067762803371828,-1.2936031438440345,97.15432893255071,325.8471337579618,0.4180374591367132,0.0,0.83435917,0.012114412,0.77466196,0.744916970433374,0.08944219857297364,0.744916970433374,0.029744987784246835,false,0.8219895287958116
259,70.23166023166023,317.0,15,30.81676339190794,77,372,61,343,12.758766444819365,-0.26488145689018955,84.66904755831213,357.6061776061776,0.4540046272663067,0.0,0.83942914,0.017806059,0.7841795,0.7520225218550898,0.0874066182358526,0.7520225218550898,0.0321569868309759,false,0.8170347003154574
261,81.33716475095785,303.0,18,22.70580669123744,91,278,71,258,17.00940984151525,-0.47463702970603316,74.01219330881976,268.14942528735634,0.5987476507498699,0.0,0.85281485,0.013717991,0.7745193,0.7987430167597768,0.05407183643159896,0.7987430167597768,-0.02422369245710343,false,0.8613861386138614
254,92.10629921259843,279.0,19,25.600855597056036,104,350,79,336,13.361144432520009,-1.5337138825719834,72.42640687119285,343.6102362204724,0.6084847531154328,0.0,0.8400972,0.016149469,0.7937798,0.71877363804619,0.12132355090339497,0.71877363804619,0.07500615235526875,false,0.910394265232975
110,117.21818181818182,112.0,30,12.39393822506053,123,339,111,326,11.51830226243957,-0.13606162837570368,40.04163056034261,332.4727272727273,0.8621424721627639,0.0,0.8264888,0.013975048,0.7680574,0.6569353667392885,0.1695534261569822,0.6569353667392885,0.11112203920935038,false,0.9821428571428571
708,142.54802259887006,786.0,34,33.62978094285796,162,263,126,232,28.293691276341416,1.1586949555964727,136.36753236814712,247.27542372881356,0.4784330336278788,0.0,0.82794744,0.01841696,0.7650317,0.8043601046976169,0.023587333065597238,0.8043601046976169,-0.03932840933171111,false,0.9007633587786259
116,138.64655172413794,117.0,35,13.512359824504298,144,313,133,300,11.168473495746989,-0.17125963701366112,40.38477631085023,305.67241379310343,0.8937838229330174,0.0,0.8199465,0.024915492,0.77562606,0.6278481012658227,0.1920984262152564,0.6278481012658227,0.1477779620810401,false,0.9914529914529915
306,152.53267973856208,357.0,36,25.751271865566306,164,288,141,263,18.361198383783126,0.5364384498358681,88.32590180780451,277.718954248366,0.49289581410886313,0.0,0.82460773,0.02191466,0.76096547,0.681001364892307,0.1436063650194972,0.681001364892307,0.07996410160702161,false,0.8571428571428571
126,179.65079365079364,133.0,44,18.909432488302823,184,259,174,242,8.88126114942188,0.2781648344996033,46.62741699796952,249.73809523809524,0.7282788433679596,0.0,0.82720274,0.031403687,0.7556491,0.6618702074005459,0.16533252993084446,0.6618702074005459,0.0937788824126865,false,0.9473684210526315
107,183.20560747663552,107.0,46,12.992024944899866,189,240,177,228,10.582560544717666,0.8716653524829109,39.21320343559642,233.81308411214954,0.874437948654345,0.0,0.8247759,0.025325272,0.75722885,0.6867552182163192,0.13802065639839634,0.6867552182163192,0.07047363310204013,true,1.0
121,190.6198347107438,123.0,49,13.68426647071941,196,196,184,183,11.588565199022318,-0.33344237409934724,42.62741699796952,189.19834710743802,0.8367913832770987,0.0,0.8443695,0.022103393,0.77319723,0.8032506217826362,0.04111884929051446,0.8032506217826362,-0.030053388105725776,false,0.983739837398374
195,205.83076923076922,213.0,53,17.206177939629143,214,216,198,200,15.496408723100002,-0.1257856381051627,58.52691193458118,207.36923076923077,0.7153741706922129,0.0,0.83881474,0.030749133,0.7699161,0.6656853086062011,0.17312942680639654,0.6656853086062011,0.10423080858511358,true,0.9154929577464789
158,239.35443037974684,162.0,61,19.787349441331216,249,219,230,208,10.532679064909075,-1.4131479296636906,51.45584412271571,213.68987341772151,0.7498899560793858,0.0,0.7997779,0.030578336,0.74117655,0.6442164234114701,0.15556150160302573,0.6442164234114701,0.09696012220849448,true,0.9753086419753086
159,251.44654088050314,163.0,65,18.9465220248547,261,157,244,144,11.41528286697555,-1.1129445808190828,51.4558441227157,149.23899371069183,0.7546360950419136,0.0,0.83914256,0.027007041,0.77575576,0.7158505395795647,0.12329202137929762,0.7158505395795647,0.05990522347432936,false,0.9754601226993865
